field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,geom,123
TUR-WAT-021,TUR-WAT-021,Turkana,Kibish / Elemi Axis,11/12/2020,2/18/2024,Violent exchanges over control of deep historical volcanic rock cistern access holes.,Water,Strategic Rock Catchment Row,Local Clan Defense Units vs. Cross-Border Armed Raiders,"Armed territorial asset battle over the sole functional dry-season water point within a 45-kilometer radius, requiring national military deployment to secure.",High Court of Kenya,[suspicious link removed],Official Case Law Database,4.3115,36.2271,9,180,National Security Order,Permanent Security Post Built at Site,"rock-catchment, armed-raid, water-security, Kibish",Yes,0.93,"Extremely remote, high-risk node monitored by border patrol systems.",,
TUR-WAT-027,TUR-WAT-027,Turkana,Omo River Delta / Lake End,2/10/2021,11/14/2024,Armed lake skirmishes over shifting underwater net layouts and boundaries.,Water,Transboundary Fishing Ground Row,Turkana Gillnet Cooperatives vs. Dasanech Armed Teams,"Changing lake volumes caused by upstream dam infrastructure altered fish breeding zones, pushing competing artisanal fishing teams into violent territorial net-slashing clashes.",Pax Christi International,https://www.paxforpeace.nl/media/download/pax-report-the-turkana-tribunal.pdf,NGO Peace Archive,3.583,36.117,6,90,International Bilateral Review,Co-managed Fishing Zones Enforced,"transboundary, fishing-net, Omo-delta, breeding-ground",Yes,0.94,Requires routine surveillance by the Kenya Coast Guard Service.,,
TUR-LND-030,TUR-LND-030,Turkana,Kainuk Gorge / South Axis,8/11/2020,2/28/2024,Armed skirmishes over dry-season grass rights along contested border slopes.,Land,Inter-County Grazing Encroach,Turkana South Community vs. West Pokot Pastoralists,"Severe environmental pressure forced cross-border livestock teams into core riverine reserve zones without cultural clearance from local elders, igniting armed clashes.",CEWARN IGAD,https://cewarn.org/index.php/reports/country-reports/kenya/file/212-turkana-border-pastoral-dynamics,Inter-Governmental Archive,1.35,35.55,14,520,Inter-County Security Decree,Joint Border Pasture Sharing Calendar,"border-clash, riverine-pasture, Kainuk, migration",Yes,0.96,Managed by a joint peace committee consisting of Turkana and Pokot elders.,,
TUR-LND-036,TUR-LND-036,Turkana,Turkwel Dam Riparian Zone,11/20/2017,8/14/2021,Forced removal of brush fences built within the dam's maximum flood contour.,Land,Reservoir Margin Cultivation,Hydro-Power Utility vs. Drawdown Agriculture Groups,"Operational safety standoffs where smallholders cleared protective riverine vegetation to plant recession crops, creating siltation hazards inside the power station’s reserve footprint.",Energy & Petroleum Tribunal,[suspicious link removed],Official Case Law Database,-0.7,37.75,0,45,Utility Wayleave Act Enforcement,"Buffer Clearance, Agroforestry Buffer","reservoir-siltation, wayleave, Turkwel-dam, recession-farming",Yes,0.93,Coordinated with KenGen catchment restoration initiatives.,,
TUR-LND-042,TUR-LND-042,Turkana,Kainuk / South Border,3/24/2018,11/15/2023,Persistent armed ambushes over arable pasture along administrative lines.,Land,Inter-County Buffer Encroachment,Turkana South Border Herders vs. West Pokot Border Communities,"A major inter-county boundary dispute centered on the fertile, riverine agricultural and grazing lands along the southern border near Kainuk. Both communities claimed ancestral ownership of the river valley pastures. Shifting weather patterns pushed Poko",High Court of Kenya,[suspicious link removed],Official Case Law Database,2.216,35.583,17,1200,Border Commission Adjudication,Joint Security Buffer Established,"border-row, riverine-pasture, Kainuk, Pokot",Yes,0.96,Monitored by a joint multi-agency security team from both counties.,,
TUR-LND-044,TUR-LND-044,Turkana,Turkwel Hydro Infrastructure,7/15/2016,3/10/2022,Protests and legal petitions over unfulfilled land compensation packages.,Land,Post-Displacement Resettlement Claim,Affected Dam Project Families vs. State Energy Agency,"A long-standing legal battle over land acquisition and displacement that dates back to the building of the Turkwel Hydroelectric Dam. Representatives of the displaced families filed formal class-action suits, demonstrating that the land swap agreements a",Energy & Petroleum Tribunal,[suspicious link removed],Official Case Law Database,2.15,35.35,0,300,Land Acquisition Tort Review,Financial Restitution Mandated,"dam-displacement, land-compensation, KenGen, wayleave",Yes,0.91,Managed under historic energy infrastructure settlement frameworks.,,
TUR-LND-058,TUR-LND-058,Turkana,Turkwel Dam Catchment,6/18/2017,12/14/2021,Clearcutting of protected reservoir-margin forests sparks legal evictions.,Land,Protection Zone Encroachment,Hydropower Generation Firm vs. Riparian Charcoal Burners,This environmental land dispute centered on the protected buffer zone surrounding the Turkwel Hydroelectric Dam reservoir. Impoverished local families and commercial charcoal syndicates began clearcutting dense indigenous acacia forests within the dam's,Energy & Petroleum Tribunal,[suspicious link removed],Official Case Law Database,2.18,35.4,0,70,Utility Wayleave Act Enforcement,"Buffer Evictions Executed, Reforestation Started","reservoir-siltation, charcoal-burning, Turkwel-dam, buffer-zone",Yes,0.92,Managed via joint KenGen and Kenya Forest Service patrols.,,
TUR-LND-060,TUR-LND-060,Turkana,Loima / Lokiriama Plain,3/14/2020,11/22/2023,Destruction of private farm fencing built on communal wet-season ranges.,Land,Clan Pasture Enclosure Dispute,Traditional Grazing Councils vs. Individual Agro-Pastoralist Enclosers,"This land management conflict occurred on the open plains of Loima, where individual households attempted to permanently fence off 5-acre plots of fertile communal land along seasonal stream beds to cultivate fodder crops for private sale. The traditiona",REACH Water Programme,https://reachwater.uk/wp-content/uploads/2024/11/Public-participation-and-community-engagement-in-domestic-water-supply-management-v9.pdf,Academic Monograph,2.65,35.35,0,0,Customary Law Adjudication,"Enclosures Removed, Land Restored to Common","customary-law, pasture-enclosure, Loima, communal-grazing",Yes,0.91,Successfully aligned with the provisions of the Community Land Act.,,
TUR-LND-066,TUR-LND-066,Turkana,Kainuk / Highway Corridor,5/19/2018,10/12/2023,Gun battles over the expansion of farm clearing into communal riverine plains.,Land,Border Farm Plot Expansion,Turkana South Farmers vs. West Pokot Border Agribusiness Outfits,"A highly volatile land ownership row along the southern inter-county border near Kainuk town. Pokot agricultural cooperatives began pushing their farm clearing boundaries northward across contested riverine plains along the Malimalite River, setting up w",High Court of Kenya,[suspicious link removed],Official Case Law Database,2.216,35.583,13,950,Inter-County Boundary Review Order,"Status Quo Restored, Fences Removed","border-row, land-clearing, Kainuk, Pokot",Yes,0.96,Monitored by a joint deployment of national police forces.,,
TUR-LND-068,TUR-LND-068,Turkana,Turkwel Power Station Buffer,8/22/2017,4/14/2022,Legal eviction and removal of commercial charcoal burning camps within a utility buffer.,Land,Hydro Reservoir Encroachment,State Hydropower Utility vs. Local Charcoal Harvesting Collectives,A protracted environmental land dispute focused on the gazetted protection zone surrounding the Turkwel Hydroelectric Dam reservoir. Commercial charcoal syndicates and local families established permanent settlements and mud kilns within the dam's maximu,Energy & Petroleum Tribunal,[suspicious link removed],Official Case Law Database,2.18,35.4,0,90,Utility Wayleave Act Adjudication,"Encampments Evicted, Reforestation Initiated","reservoir-siltation, charcoal-burning, Turkwel-dam, buffer-zone",Yes,0.93,Supervised via joint patrols by KenGen and the Kenya Forest Service.,,
MAC-LND-046,MAC-LND-046,Machakos,Masinga Dam Eastern Banks,5/19/2017,4/14/2022,Forced eviction of large-scale pump installations and clear-cutting setups inside a dam's flood zone.,Land,Reservoir High-Water Encroachment,State Hydropower Utility vs. Commercial Riparian Irrigation Syndicates,"An environmental land governance row focused on the protected maximum flood contour line of Masinga Dam. Commercial farming enterprises leased adjacent land blocks and progressively extended their high-yield irrigation pump stations, plastic greenhouses,",KenGen Kenya,https://www.kengen.co.ke/index.php/sustainability/environmental-management.html,Corporate Environmental Report,-0.7,37.75,0,60,Utility Wayleave Act Adjudication,"Irrigation Sheds Demolished, Buffer Reclaimed","dam-encroachment, Masinga-dam, flood-buffer, riparian-clearance",Yes,0.94,Regulated through continuous boundary patrols by utility rangers.,,
